EM_EVENTPROBABILITY,age,EM_CLASSIFICATION,base_monthly_rate_phone,EM_PROBABILITY,data_consumption,phone_balance,phone_price,time_since_complaints,time_since_technical_problems,total_complaints,total_data_consumption,total_technical_problems,total_text_consumption,total_voice_consumption,voice_consumption,promo,workphone,base_monthly_rate_plan,data,plan_type,P_churn_in_12False,P_churn_in_12True,I_churn_in_12,_WARN_,family_id,period_id,id,active,text_consumption,technical_problem,complaints,total_voice_overage_fees,total_data_overage_fees,total_overage_fees,time_since_voice_overage,time_since_data_overage,time_since_overage,gender,unlimited_voice,voice_minutes,unlimited_text,churn_in_12,unique_id
0.06282606,45,FALSE,19.445,0.93717394,1.514,350.016,583.36,0,1,4,17.791,2,7626,1482.377,120.804,FALSE,TRUE,43.1,3,rent,0.93717394,0.06282606,FALSE,,10511,96,15777,TRUE,534,0,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15777_10511_96
0.079866876,72,FALSE,5.376,0.920133124,0,193.522,258.03,11,9,1,0,1,0,2602.253,194.585,FALSE,FALSE,35,0,rent,0.920133124,0.079866876,FALSE,,10511,96,15778,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15778_10511_96
0.056021675,48,FALSE,0,0.943978326,1.116,0,           .,4,           .,1,15.976,0,2545,1124.907,92.939,TRUE,FALSE,48.5,5,bring,0.943978326,0.056021675,FALSE,M,10512,96,15779,TRUE,183,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15779_10512_96
0.053857707,43,FALSE,13.939,0.946142293,0,310.635,477.9,           .,6,0,0,2,5,876.79,65.828,FALSE,FALSE,35,0,rent,0.946142293,0.053857707,FALSE,M,10513,96,15780,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15780_10513_96
0.076157615,75,FALSE,12.927,0.923842385,0.338,288.086,443.21,0,4,3,3.138,4,610,3278.652,215.156,FALSE,FALSE,36.35,0.5,rent,0.923842385,0.076157615,FALSE,,10514,96,15782,TRUE,42,0,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15782_10514_96
0.053001808,46,FALSE,22.901,0.946998192,2.977,510.367,785.18,2,           .,5,30.666,0,12053,432.259,21.174,FALSE,TRUE,48.5,5,rent,0.946998192,0.053001808,FALSE,M,10515,96,15783,TRUE,768,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15783_10515_96
0.187790069,58,FALSE,0,0.812209931,0,0,           .,1,10,4,0,2,0,2740.382,216.583,FALSE,FALSE,35,0,bring,0.812209931,0.187790069,FALSE,M,10515,96,15784,TRUE,0,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15784_10515_96
0.070616707,45,FALSE,14.564,0.929383293,0,213.609,388.38,           .,6,0,0,4,0,0,0,FALSE,FALSE,11.5,0,rent,0.929383293,0.070616707,FALSE,M,10516,96,15785,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,FALSE,50,1,FALSE,15785_10516_96
0.183792064,44,FALSE,0,0.816207937,2.082,0,           .,2,3,2,42.568,3,4460,1624.797,149.902,FALSE,FALSE,53.9,7,bring,0.816207937,0.183792064,FALSE,M,10517,96,15786,TRUE,371,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15786_10517_96
0.063087748,50,FALSE,17.269,0.936912252,1.035,384.859,592.09,0,9,4,12.79,3,1416,1417.056,133.516,FALSE,FALSE,43.1,3,rent,0.936912252,0.063087748,FALSE,,10518,96,15787,TRUE,103,0,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15787_10518_96
0.062577325,48,FALSE,12.351,0.937422675,1.333,444.638,592.85,5,12,1,17.219,1,5398,981.352,66.575,FALSE,TRUE,43.1,3,rent,0.937422675,0.062577325,FALSE,,10519,96,15788,TRUE,375,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15788_10519_96
0.157718547,84,FALSE,0,0.842281453,0,0,           .,           .,6,0,0,1,0,4951.241,484.256,FALSE,FALSE,35,0,bring,0.842281453,0.157718547,FALSE,M,10520,96,15790,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15790_10520_96
0.183437026,44,FALSE,0,0.816562974,2.05,0,           .,10,0,2,23.868,4,6351,715.705,63.195,FALSE,FALSE,43.1,3,bring,0.816562974,0.183437026,FALSE,M,10520,96,15791,TRUE,634,1,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15791_10520_96
0.040695279,18,FALSE,33.932,0.959304722,0.649,610.782,1017.97,           .,           .,0,11.035,0,1412,334.115,22.199,FALSE,FALSE,43.1,3,rent,0.959304722,0.040695279,FALSE,M,10521,96,15792,TRUE,80,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15792_10521_96
0.078368697,32,FALSE,0,0.921631303,3.336,0,834.79,2,7,2,38.573,1,5070,193.71,15.245,FALSE,FALSE,59.3,9,buy,0.921631303,0.078368697,FALSE,,10522,96,15793,TRUE,376,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15793_10522_96
0.059789426,31,FALSE,18.608,0.940210574,2.573,669.885,893.18,9,0,2,35.554,2,4849,166.165,11.621,FALSE,FALSE,53.9,7,rent,0.940210574,0.059789426,FALSE,,10522,96,15794,TRUE,592,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15794_10522_96
0.060431549,23,FALSE,35.759,0.939568451,0.53,643.668,1072.78,0,1,3,5.021,4,827,33.919,3.955,FALSE,FALSE,43.1,3,rent,0.939568451,0.060431549,FALSE,,10523,96,15795,TRUE,64,0,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,TRUE,15795_10523_96
0.05923614,76,FALSE,19.412,0.94076386,0,284.708,517.65,           .,1,0,0,5,3,3515.928,240.16,FALSE,FALSE,35,0,rent,0.94076386,0.05923614,FALSE,M,10523,96,15796,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15796_10523_96
0.049875309,27,FALSE,38.032,0.950124691,1.007,557.805,1014.19,1,           .,2,15.19,0,5885,599.109,38.689,FALSE,TRUE,43.1,3,rent,0.950124691,0.049875309,FALSE,M,10524,96,15797,TRUE,507,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15797_10524_96
0.062286737,19,FALSE,40.351,0.937713263,1.084,484.21,968.42,4,0,2,20.348,2,2619,539.034,48.46,FALSE,FALSE,43.1,3,rent,0.937713263,0.062286737,FALSE,,10525,96,15798,TRUE,189,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15798_10525_96
0.071827306,52,FALSE,19.056,0.928172695,0,343.008,571.68,0,2,7,0,5,0,1767.843,135.853,FALSE,FALSE,35,0,rent,0.928172695,0.071827306,FALSE,,10526,96,15799,TRUE,0,0,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,TRUE,15799_10526_96
0.075205844,79,FALSE,16.692,0.924794156,0,200.305,400.61,8,2,2,0,3,8,3881.489,295.397,FALSE,FALSE,35,0,rent,0.924794156,0.075205844,FALSE,,10527,96,15800,TRUE,0,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15800_10527_96
0.112389549,73,FALSE,3.392,0.887610451,0,122.115,162.82,0,1,4,0,3,0,0,0,FALSE,FALSE,13,0,rent,0.887610451,0.112389549,FALSE,,10527,96,15801,TRUE,0,0,1,0,0,0,           .,           .,           .,Man,FALSE,100,1,FALSE,15801_10527_96
0.060960929,18,FALSE,16.992,0.939039071,0.425,611.7,815.6,4,7,3,5.944,3,980,287.076,22.657,FALSE,FALSE,40.4,2,rent,0.939039071,0.060960929,FALSE,,10528,96,15802,TRUE,95,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15802_10528_96
0.06122254,58,FALSE,0,0.93877746,1.099,0,           .,12,           .,1,21.244,0,3229,1817.264,114.67,TRUE,FALSE,43.1,3,bring,0.93877746,0.06122254,FALSE,M,10529,96,15803,TRUE,241,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15803_10529_96
0.201297801,25,FALSE,0,0.798702199,3.273,0,           .,8,5,1,61.723,2,10771,0,0,FALSE,FALSE,53.9,7,bring,0.798702199,0.201297801,FALSE,M,10530,96,15804,TRUE,770,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15804_10530_96
0.062577325,46,FALSE,26.354,0.937422675,1.978,386.518,702.76,5,10,2,29.201,1,2133,1347.324,106.895,FALSE,FALSE,53.9,7,rent,0.937422675,0.062577325,FALSE,,10531,96,15805,TRUE,181,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15805_10531_96
0.078203293,18,FALSE,0,0.921796707,1.102,0,685.46,2,5,3,16.08,2,2604,536.713,49.76,FALSE,FALSE,40.4,2,buy,0.921796707,0.078203293,FALSE,,10531,96,15806,TRUE,196,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15806_10531_96
0.063013471,33,FALSE,20.823,0.936986529,0,249.88,499.76,7,3,1,0,3,0,1566.629,135.382,FALSE,FALSE,35,0,rent,0.936986529,0.063013471,FALSE,,10532,96,15807,TRUE,0,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15807_10532_96
0.184132076,67,FALSE,0,0.815867924,0.236,0,           .,0,0,2,3.026,4,825,3624.795,217.061,FALSE,FALSE,36.35,0.5,bring,0.815867924,0.184132076,FALSE,M,10533,96,15808,TRUE,58,1,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15808_10533_96
0.073335034,59,FALSE,15.436,0.926664966,0.562,344,529.23,9,0,1,7.483,7,1623,2592.236,205.561,FALSE,FALSE,40.4,2,rent,0.926664966,0.073335034,FALSE,,10533,96,15809,TRUE,90,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15809_10533_96
0.163939162,58,FALSE,0,0.836060838,1.24,0,           .,           .,3,0,16.185,3,2581,2343.151,182.527,FALSE,FALSE,43.1,3,bring,0.836060838,0.163939162,FALSE,M,10533,96,15810,TRUE,188,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15810_10533_96
0.053115649,44,FALSE,24.003,0.946884351,1.272,288.04,576.08,           .,7,0,18.028,1,3859,882.091,69.81,FALSE,FALSE,43.1,3,rent,0.946884351,0.053115649,FALSE,M,10534,96,15811,TRUE,249,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15811_10534_96
0.068593525,71,FALSE,14.906,0.931406475,0.099,218.625,397.5,11,9,1,1.992,1,400,3691.949,178.108,FALSE,FALSE,36.35,0.5,rent,0.931406475,0.068593525,FALSE,,10534,96,15812,TRUE,17,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15812_10534_96
0.056647891,62,FALSE,16.397,0.943352109,0.871,240.487,437.25,           .,0,0,11.115,3,6172,2136.816,164.005,FALSE,TRUE,40.4,2,rent,0.943352109,0.056647891,FALSE,M,10535,96,15813,TRUE,430,1,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15813_10535_96
0.061578321,44,FALSE,15.47,0.938421679,1.024,556.928,742.57,3,4,1,14.957,2,2908,846.732,41.394,FALSE,FALSE,43.1,3,rent,0.938421679,0.061578321,FALSE,,10536,96,15814,TRUE,182,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15814_10536_96
0.062577325,52,FALSE,20.522,0.937422675,1.56,369.402,615.67,7,0,1,17.051,2,5343,1134.741,77.556,FALSE,TRUE,40.4,2,rent,0.937422675,0.062577325,FALSE,,10536,96,15815,TRUE,439,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15815_10536_96
0.062577325,51,FALSE,30.937,0.937422675,1.938,371.24,742.48,0,7,3,24.62,2,2654,1528.862,136.742,FALSE,FALSE,48.5,5,rent,0.937422675,0.062577325,FALSE,,10536,96,15816,TRUE,200,0,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15816_10536_96
0.077072105,61,FALSE,10.288,0.922927895,0,229.281,352.74,1,5,4,0,2,0,0,0,FALSE,FALSE,13,0,rent,0.922927895,0.077072105,FALSE,,10538,96,15818,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,FALSE,100,1,FALSE,15818_10538_96
0.061578321,19,FALSE,26.087,0.938421679,1.082,581.373,894.42,3,2,2,15.032,2,1389,88.588,5.158,FALSE,FALSE,43.1,3,rent,0.938421679,0.061578321,FALSE,,10539,96,15819,TRUE,90,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15819_10539_96
0.06319174,41,FALSE,38.968,0.93680826,2.535,467.62,935.24,9,4,1,30.826,5,6977,873.931,73.342,FALSE,FALSE,59.3,9,rent,0.93680826,0.06319174,FALSE,,10539,96,15820,TRUE,525,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15820_10539_96
0.051677903,36,FALSE,24.48,0.948322098,2.458,545.552,839.31,           .,5,0,21.401,2,4005,1386.415,113.117,FALSE,FALSE,53.9,7,rent,0.948322098,0.051677903,FALSE,M,10540,96,15821,TRUE,362,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15821_10540_96
0.084495736,52,FALSE,0,0.915504265,0,0,159.16,11,3,1,0,2,8,0,0,FALSE,FALSE,16,0,buy,0.915504265,0.084495736,FALSE,,10540,96,15822,TRUE,0,0,0,0,0,0,           .,           .,           .,Man,FALSE,200,1,FALSE,15822_10540_96
0.18856588,81,FALSE,0,0.81143412,0,0,           .,5,2,4,0,3,8,0,0,FALSE,FALSE,11.5,0,bring,0.81143412,0.18856588,FALSE,M,10541,96,15823,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,FALSE,50,1,FALSE,15823_10541_96
0.062286737,49,FALSE,32.542,0.937713263,2.448,477.284,867.79,8,6,1,33.154,1,11414,1296.842,118.904,FALSE,TRUE,53.9,7,rent,0.937713263,0.062286737,FALSE,,10541,96,15824,TRUE,591,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15824_10541_96
0.080640775,52,FALSE,0,0.919359225,2.851,0,733.9,2,2,4,29.609,4,8283,1089.357,111.623,FALSE,FALSE,48.5,5,buy,0.919359225,0.080640775,FALSE,,10542,96,15825,TRUE,582,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15825_10542_96
0.062839013,54,FALSE,18.218,0.937160987,1.438,327.924,546.54,5,0,2,20.469,3,3006,1672.586,125.215,FALSE,FALSE,48.5,5,rent,0.937160987,0.062839013,FALSE,,10542,96,15826,TRUE,212,1,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15826_10542_96
0.080115979,64,FALSE,0,0.919884021,0.412,0,506.18,4,3,2,5.283,4,540,3247.614,310.741,FALSE,FALSE,40.4,2,buy,0.919884021,0.080115979,FALSE,,10543,96,15827,TRUE,44,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15827_10543_96
0.061555484,30,FALSE,26.506,0.938444516,2.534,590.714,908.79,3,3,2,52.599,3,5650,447.429,32.935,FALSE,FALSE,59.3,9,rent,0.938444516,0.061555484,FALSE,,10544,96,15828,TRUE,356,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15828_10544_96
0.061555484,30,FALSE,27.146,0.938444516,2.675,604.962,930.71,4,1,3,35.597,3,6168,0,0,FALSE,FALSE,59.3,9,rent,0.938444516,0.061555484,FALSE,,10544,96,15829,TRUE,550,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15829_10544_96
0.073344895,32,FALSE,19.896,0.926655105,1.448,716.265,955.02,6,0,4,18.706,9,5187,414.29,27.566,FALSE,FALSE,43.1,3,rent,0.926655105,0.073344895,FALSE,,10545,96,15830,TRUE,504,1,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15830_10545_96
0.062071499,27,FALSE,41.904,0.937928502,2.695,502.85,1005.7,3,1,3,26.785,2,7062,124.62,10.733,FALSE,TRUE,48.5,5,rent,0.937928502,0.062071499,FALSE,,10546,96,15831,TRUE,484,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15831_10546_96
0.086971361,55,FALSE,0,0.913028639,0,0,263.99,1,2,4,0,3,8,0,0,FALSE,FALSE,16,0,buy,0.913028639,0.086971361,FALSE,,10547,96,15833,TRUE,0,0,0,0,0,0,           .,           .,           .,Man,FALSE,200,1,FALSE,15833_10547_96
0.062071499,23,FALSE,22.605,0.937928502,1.099,503.763,775.02,0,4,3,17.815,2,1748,150.486,12.406,FALSE,FALSE,43.1,3,rent,0.937928502,0.062071499,FALSE,,10548,96,15834,TRUE,152,0,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15834_10548_96
0.085207409,33,FALSE,0,0.914792591,3.725,0,529.69,4,1,6,46.309,3,10353,226.191,21.044,FALSE,FALSE,53.9,7,buy,0.914792591,0.085207409,FALSE,,10549,96,15835,TRUE,821,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15835_10549_96
0.184247826,18,FALSE,0,0.815752174,0.644,0,           .,3,6,2,11.188,3,1506,0,0,FALSE,FALSE,43.1,3,bring,0.815752174,0.184247826,FALSE,M,10550,96,15836,TRUE,122,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15836_10550_96
0.053963009,25,FALSE,21.384,0.946036991,1.661,769.808,1026.41,5,5,3,26.75,2,3858,0,0,FALSE,FALSE,59.3,9,rent,0.946036991,0.053963009,FALSE,,10551,96,15837,TRUE,524,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15837_10551_96
0.183702549,46,FALSE,0,0.816297451,0,0,           .,4,1,2,0,4,6,1287.681,117.043,FALSE,FALSE,35,0,bring,0.816297451,0.183702549,FALSE,M,10552,96,15838,TRUE,1,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15838_10552_96
0.061293796,43,FALSE,26.933,0.938706204,1.228,600.223,923.42,1,5,2,15.988,1,3100,1267.812,122.003,FALSE,FALSE,43.1,3,rent,0.938706204,0.061293796,FALSE,,10553,96,15839,TRUE,121,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15839_10553_96
0.183598999,43,FALSE,0,0.816401001,2.44,0,           .,1,2,2,39.556,2,5605,1003.536,91.495,FALSE,FALSE,59.3,9,bring,0.816401001,0.183598999,FALSE,M,10554,96,15840,TRUE,275,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15840_10554_96
0.114159644,82,FALSE,0,0.885840356,0,0,187.76,0,0,3,0,6,8,4634.783,274.181,FALSE,FALSE,35,0,buy,0.885840356,0.114159644,FALSE,,10555,96,15841,TRUE,0,1,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15841_10555_96
0.066058997,70,FALSE,9.264,0.933941003,0.474,333.51,444.68,10,4,1,6.744,4,1149,2852.651,222.642,FALSE,FALSE,40.4,2,rent,0.933941003,0.066058997,FALSE,,10555,96,15842,TRUE,91,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15842_10555_96
0.059664427,18,FALSE,30.448,0.940335573,1.403,678.548,1043.92,5,7,1,26.291,3,3594,1296.065,127.952,FALSE,FALSE,48.5,5,rent,0.940335573,0.059664427,FALSE,,10556,96,15843,TRUE,203,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15843_10556_96
0.069551451,40,FALSE,27.547,0.930448549,0.845,495.846,826.41,0,3,5,9.054,6,2532,566.284,56.351,FALSE,TRUE,43.1,3,rent,0.930448549,0.069551451,FALSE,,10557,96,15844,TRUE,208,0,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15844_10557_96
0.063262206,56,FALSE,19.598,0.936737794,0.419,352.764,587.94,4,2,4,5.711,4,665,2195.831,167.623,FALSE,FALSE,40.4,2,rent,0.936737794,0.063262206,FALSE,,10557,96,15845,TRUE,54,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15845_10557_96
0.052290878,53,FALSE,17.951,0.947709122,1.747,400.056,615.47,1,           .,1,17.686,0,4335,2369.596,179.1,FALSE,FALSE,43.1,3,rent,0.947709122,0.052290878,FALSE,M,10558,96,15846,TRUE,268,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15846_10558_96
0.052980015,36,FALSE,22.237,0.947019985,1.636,800.527,1067.37,11,1,1,23.847,4,3688,796.663,34.823,FALSE,FALSE,53.9,7,rent,0.947019985,0.052980015,FALSE,,10558,96,15847,TRUE,242,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15847_10558_96
0.185723437,45,FALSE,0,0.814276563,2.745,0,           .,3,1,3,43.554,2,8030,930.012,59.469,FALSE,FALSE,53.9,7,bring,0.814276563,0.185723437,FALSE,M,10558,96,15848,TRUE,573,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15848_10558_96
0.182545555,56,FALSE,0,0.817454445,1.261,0,           .,10,7,2,13.166,2,1558,1796.736,224.258,FALSE,FALSE,43.1,3,bring,0.817454445,0.182545555,FALSE,M,10559,96,15849,TRUE,128,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15849_10559_96
0.056994453,18,FALSE,0,0.943005548,0,0,650.05,           .,           .,0,0,0,5,714.266,61.591,FALSE,FALSE,35,0,buy,0.943005548,0.056994453,FALSE,M,10560,96,15850,TRUE,0,0,0,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15850_10560_96
0.06363127,54,FALSE,16.527,0.93636873,0.991,198.32,396.64,4,9,2,14.268,3,2083,2050.177,133.415,FALSE,FALSE,43.1,3,rent,0.93636873,0.06363127,FALSE,,10561,96,15851,TRUE,80,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15851_10561_96
0.063482328,56,FALSE,21.555,0.936517672,1.172,258.665,517.33,0,5,3,17.695,5,4276,1594.329,114.899,FALSE,FALSE,43.1,3,rent,0.936517672,0.063482328,FALSE,,10562,96,15852,TRUE,277,0,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15852_10562_96
0.065114027,18,FALSE,40.725,0.934885973,2.415,488.7,977.4,0,0,3,35.55,6,6990,67.455,6.25,TRUE,FALSE,48.5,5,rent,0.934885973,0.065114027,FALSE,,10563,96,15853,TRUE,850,2,1,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15853_10563_96
0.062071499,18,FALSE,42.784,0.937928502,0.619,513.41,1026.82,0,2,2,11.227,1,3983,14.263,1.076,FALSE,FALSE,43.1,3,rent,0.937928502,0.062071499,FALSE,,10564,96,15854,TRUE,351,0,1,0,0,0,           .,           .,           .,Woman,TRUE,           .,1,FALSE,15854_10564_96
0.06716869,34,FALSE,0,0.93283131,2.544,0,714.63,           .,5,0,33.524,2,11122,0,0,FALSE,FALSE,53.9,7,buy,0.93283131,0.06716869,FALSE,M,10565,96,15855,TRUE,586,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15855_10565_96
0.0749459,64,FALSE,12.189,0.9250541,0.192,219.402,365.67,2,3,4,3.018,3,256,3099.642,330.31,FALSE,FALSE,36.35,0.5,rent,0.9250541,0.0749459,FALSE,,10566,96,15856,TRUE,19,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,FALSE,15856_10566_96
0.066212976,42,FALSE,35.664,0.933787024,1.704,427.97,855.94,4,2,6,24.898,2,3683,1121.055,112.62,FALSE,FALSE,48.5,5,rent,0.933787024,0.066212976,FALSE,,10567,96,15857,TRUE,272,0,0,0,0,0,           .,           .,           .,Man,TRUE,           .,1,TRUE,15857_10567_96
